Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD_6_A445	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	10	_CRECHE_PROPRETE_MOYEN	_CRECHE_ZDA_6_	445
DI_ZD_11_A502	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	16	_DM_CAFETERIA_SORTIE_TERRASSE	_DM_NIVEAU_RDC_ZDM_11	502
DI_ZD_11_A500	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	14	_DM_CRECHE_CIRCULATION_SORTIE_COUR_	_DM_NIVEAU_RDC_ZDM_11	500
DI_ZD_8_A475	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_8	8	6	_CAISSE_6	_CAFETERIA_ZDA_8	475
DI_ZD_8_A474	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_8	8	5	_CAISSE_5	_CAFETERIA_ZDA_8	474
DI_ZD_8_A471	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_8	8	2	_SALLE_EST	_CAFETERIA_ZDA_8	471
DI_ZD_8_A470	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_8	8	1	_SALLE_NORD	_CAFETERIA_ZDA_8	470
DI_ZD_11_A503	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	17	_DM_CAFETERIA_SORTIE_EXTERIEURE	_DM_NIVEAU_RDC_ZDM_11	503
DI_ZD_11_A501	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	15	_DM_CAFETERIA_SORTIE_HALL	_DM_NIVEAU_RDC_ZDM_11	501
DI_ZD_23_A512	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_23	23	1	_D_t__IN_23_1	_Derangement_CMSI	512
DI_ZD_2_A335	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_2	2	1	_LOCAL_SOUS_STATION_VERS_FERION	_LOCAUX_TECHNIQUE_ZDA_2	335
DI_ZD_1_A328	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	1	_CIRCULATION_LOCAUX_TECHNIQUE_NORD	_CIRCULATION_ZDA_1_	328
DI_ZD_11_A504	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	1	_DM_ESCALIER_NORD	_DM_NIVEAU_RDC_ZDM_11	504
DI_ZD_4_A377	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_4	4	3	_DM_CIRCULATION_CENTRE_FACE_S_MUSCULATION	_DM_NIVEAU_R_1_ZDM_4_	377
