Esser/DI	Parameters	V/Numero	V/Panel	V/ZoneNum	V/Description	V/adress_MB
DI_ZD7_A18	/Esser/DI/EDP/Zone_7	18	1	7	4203 RDC BUREAU P018	131
DI_ZD7_A15	/Esser/DI/EDP/Zone_7	15	1	7	4203 RDC ESPACE COMM P016	132
DI_ZD7_A20	/Esser/DI/EDP/Zone_7	20	1	7	4203 RDC BUREAU SUD P019	133
DI_ZD7_A3	/Esser/DI/EDP/Zone_7	3	1	7	4203 RDC BUREAU SUD P019	134
DI_ZD7_A31	/Esser/DI/EDP/Zone_7	31	1	7	4203 RDC BUREAU SUD P020	135
DI_ZD7_A21	/Esser/DI/EDP/Zone_7	21	1	7	4203 RDC BUREAU SUD P020	136
DI_ZD7_A13	/Esser/DI/EDP/Zone_7	13	1	7	4203 RDC SAS CIRCUL CENTR	137
DI_ZD7_A12	/Esser/DI/EDP/Zone_7	12	1	7	4203 RDC VEST CENTRE P008	138
DI_ZD7_A7	/Esser/DI/EDP/Zone_7	7	1	7	4203 RDC LOCAL BATTERIE 7	139
DI_ZD7_A22	/Esser/DI/EDP/Zone_7	22	1	7	4203 RDC BUREAU SUD P021	140
DI_ZD7_A23	/Esser/DI/EDP/Zone_7	23	1	7	4203 RDC BUREAU SUD P022	141
DI_ZD7_A24	/Esser/DI/EDP/Zone_7	24	1	7	4203 RDC BUREAU SUD P024A	142
DI_ZD7_A25	/Esser/DI/EDP/Zone_7	25	1	7	4203 RDC BUREAU SUD P024B	143
