Chubb/DI	Parameters	V/Tableau	V/Ligne	V/Adresse	V/AdresseJBus	V/RegistreJBus	V/Libelle	V/NumZone	V/Octet	V/Boucle
DI_0001_0006_0036	/Chubb/DI/Chubb/Zone_7	1	6	36	187	93	EMETTEUR DECAMETRIQUE	7	1	38
DI_0001_0007_0001	/Chubb/DI/Chubb/Zone_85	1	7	1	188	93	SALLE INFO AMBIANCE	85	2	25
DI_0001_0007_0002	/Chubb/DI/Chubb/Zone_86	1	7	2	189	94	SALLE INFO AMBIANCE	86	1	26
DI_0001_0007_0003	/Chubb/DI/Chubb/Zone_85	1	7	3	190	94	SALLE INFO FAUX PLAFOND	85	2	27
DI_0001_0007_0004	/Chubb/DI/Chubb/Zone_86	1	7	4	191	95	SALLE INFO FAUX PLAFOND	86	1	28
DI_0001_0007_0005	/Chubb/DI/Chubb/Zone_85	1	7	5	192	95	SALLE INFO FAUX PLANCHER	85	2	29
DI_0001_0007_0006	/Chubb/DI/Chubb/Zone_86	1	7	6	193	96	SALLE INFO FAUX PLANCHER	86	1	30
DI_0001_0007_0007	/Chubb/DI/Chubb/Zone_86	1	7	7	194	96	SALLE INFO FAUX PLANCHER	86	2	31
DI_0001_0007_0008	/Chubb/DI/Chubb/Zone_85	1	7	8	195	97	SALLE INFO FAUX PLANCHER	85	1	32
DI_0001_0007_0009	/Chubb/DI/Chubb/Zone_86	1	7	9	196	97	SALLE INFO FAUX PLAFOND	86	2	33
DI_0001_0007_0010	/Chubb/DI/Chubb/Zone_85	1	7	10	197	98	SALLE INFO FAUX PLAFOND	85	1	34
DI_0001_0007_0011	/Chubb/DI/Chubb/Zone_86	1	7	11	198	98	SALLE INFO AMBIANCE	86	2	35
DI_0001_0007_0012	/Chubb/DI/Chubb/Zone_85	1	7	12	199	99	SALLE INFO AMBIANCE	85	1	36
DI_0001_0007_0013	/Chubb/DI/Chubb/Zone_86	1	7	13	200	99	SALLE INFO AMBIANCE	86	2	37
DI_0001_0007_0014	/Chubb/DI/Chubb/Zone_85	1	7	14	201	100	SALLE INFO AMBIANCE	85	1	38
DI_0001_0007_0015	/Chubb/DI/Chubb/Zone_85	1	7	15	202	100	SALLE INFO FAUX PLAFOND	85	2	39
DI_0001_0007_0016	/Chubb/DI/Chubb/Zone_86	1	7	16	203	101	SALLE INFO FAUX PLAFOND	86	1	40
DI_0001_0007_0017	/Chubb/DI/Chubb/Zone_85	1	7	17	204	101	SALLE INFO FAUX PLANCHER	85	2	41
DI_0001_0007_0018	/Chubb/DI/Chubb/Zone_86	1	7	18	205	102	SALLE INFO FAUX PLANCHER	86	1	42
DI_0001_0007_0019	/Chubb/DI/Chubb/Zone_85	1	7	19	206	102	SALLE INFO AMBIANCE	85	2	43
DI_0001_0007_0020	/Chubb/DI/Chubb/Zone_86	1	7	20	207	103	SALLE INFO FAUX PLANCHER	86	1	44
DI_0001_0007_0021	/Chubb/DI/Chubb/Zone_85	1	7	21	208	103	SALLE INFO FAUX PLANCHER	85	2	45
